CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
HX322167,06/28/2014 07:00:00 AM2014.06.28 at 07:00,006XX W 62ND ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,711,16,14,1173131,1863739,41.781525,-87.64081
HX322170,06/28/2014 07:30:00 AM2014.06.28 at 07:30,012XX S INDEPENDENCE BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,N,Y,1011,24,08B,1151249,1894060,41.865185,-87.72024
HX322174,06/28/2014 06:38:00 AM2014.06.28 at 06:38,066XX S MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,322,20,08B,1178129,1860746,41.7732,-87.622574
HX322179,06/28/2014 08:05:00 AM2014.06.28 at 08:05,038XX N PULASKI RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,1732,30,08B,1149007,1925053,41.950275,-87.72766
HX322186,06/28/2014 08:00:00 AM2014.06.28 at 08:00,042XX S LANGLEY AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE,N,Y,214,4,04B,1181672,1877188,41.818237,-87.60908
HX322198,06/28/2014 08:00:00 AM2014.06.28 at 08:00,062XX S RICHMOND ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,823,15,08B,1157823,1863266,41.780552,-87.69694
HX322202,06/28/2014 08:32:00 AM2014.06.28 at 08:32,112XX S VERNON AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,Y,531,9,26,1181213,1830216,41.68935,-87.612206
HX322208,06/28/2014 07:30:00 AM2014.06.28 at 07:30,001XX N LATROBE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1523,28,08B,1141321,1900444,41.882893,-87.75652
HX322214,06/28/2014 09:10:00 AM2014.06.28 at 09:10,057XX S ABERDEEN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,712,16,08B,1170006,1866630,41.789528,-87.652176
HX322218,06/28/2014 07:00:00 AM2014.06.28 at 07:00,089XX S BURLEY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,Y,424,10,14,1199178,1846504,41.733616,-87.54589
HX322223,06/28/2014 09:00:00 AM2014.06.28 at 09:00,017XX N CAMPBELL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1434,1,08B,1159394,1911302,41.912334,-87.689865
HX322234,06/28/2014 09:15:00 AM2014.06.28 at 09:15,082XX S VERNON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,631,6,08B,1180641,1850373,41.74468,-87.613686
HX322271,06/28/2014 10:15:00 AM2014.06.28 at 10:15,0000X S AUSTIN BLVD,0560,ASSAULT,SIMPLE,APARTMENT,N,Y,1513,29,08A,1136435,1899246,41.879696,-87.7745
HX322278,06/28/2014 10:00:00 AM2014.06.28 at 10:00,028XX W 64TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,823,15,14,1158617,1862041,41.777176,-87.69406
HX322279,06/28/2014 09:30:00 AM2014.06.28 at 09:30,014XX W TOUHY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2423,49,08B,1165223,1947905,42.012653,-87.667404
HX322287,06/28/2014 10:20:00 AM2014.06.28 at 10:20,0000X S MASON AVE,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,APARTMENT,N,Y,1513,29,04B,1136799,1899276,41.87977,-87.77316
HX322305,06/28/2014 10:28:00 AM2014.06.28 at 10:28,062XX S DR MARTIN LUTHER KING JR DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,Y,Y,311,20,08B,1179958,1863503,41.780724,-87.61578
HX322310,06/28/2014 10:57:00 AM2014.06.28 at 10:57,007XX E 91ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,633,6,08B,1183089,1844768,41.72924,-87.60489
